timestamp|did|unr-file-name|unr-title|unr-desc|creator|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|rights|format|dcmi|prov|proj-name|unr-cit|corr-guide|dig-pub|contrib|int-ext|rights-owner|date-img|BLANK28
"7/16/2021 19:25"|NNN000722|"DSC_0749.Trip2.JPG; DSC_0750.Trip2.JPG"|"Pussycat Saloon mounted sign, Winnemucca, Nevada"|"<p>View of a mounted sign for the Pussycat Saloon during the day with unlit neon.</p>"|"Durham, Will"|XXXX||"139 Baud St, Winnemucca, NV 89445"|"40.9760443, -117.7347587"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Brothels -- http://id.worldcat.org/fast/1765181"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000722-001|||||||||||||||||||||||||||
|NNN000722-002|||||||||||||||||||||||||||
"7/16/2021 19:43"|NNN000723|"DSC_0361.Trip2.JPG; DSC_0362.Trip2.JPG"|"Rail City Casino double mounted sign, Sparks, Nevada"|"<p>View of the double mounted sign for Rail City Casino in Sparks during the day with unlit neon.</p>"|"Durham, Will"|XXXX||"2121 Victorian Ave, Sparks, NV 89431"|"39.534924, -119.7725573"|||lit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2020
|NNN000723-001|||||||||||||||||||||||||||
|NNN000723-002|||||||||||||||||||||||||||
"7/16/2021 20:11"|NNN000724|"DSC_0363.Trip2.JPG; DSC_0364.Trip2.JPG; DSC_0367.Trip2.JPG"|"Rail City Casino wall mounted sign, Sparks, Nevada"|"<p>View of a wall mounted sign for the Rail City Casino during the day with unlit neon.</p>"|"Durham, Will"|XXXX||"2121 Victorian Ave, Sparks, NV 89431"|"39.534924, -119.7725573"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2020
|NNN000724-001|||||||||||||||||||||||||||
|NNN000724-002|||||||||||||||||||||||||||
|NNN000724-003|||||||||||||||||||||||||||
